"Nombre del servicio","Precio de compra","Duración","Tiempo adicional","Impuestos","Descripción","Nombre de la categoría","Tipo de servicio","Recurso","Reserva online","Disponible para","Ventas de cupones","Comisiones","ID del servicio","SKU"
"Limpieza Facial Glow Skin","125000.00","1h","","No tax","Una limpieza facial completa y profunda, con los mayores estándares de asepsia y cuidado al tacto con tu piel. 

Las Limpiezas Faciales en GlowSkin se caracterizan porque eliminan las impurezas más profundas sin llegar a agredir tu piel. 

Observa los cambios desde la primera sesión gracias a nuestros principios activos de la más alta calidad.","Primera vez","Facial Extractions","No es obligatorio","Activo","Todos","Activo","Activo","20916619",""
"Limpieza Facial Anti-Acné ","165000.00","1h 30m","","No tax","Ideal para quienes buscan un cuidado especializado en piel con tendencia al acné, este servicio ofrece una limpieza facial más profunda, diseñada para ayudar a las personas con acné comedogénico o severo a descargar y descansar su piel, con efectos progresivos que se ven desde la primera sesión. Disfruta de una experiencia relajante y profesional enfocada en el bienestar de tu rostro.","Primera vez","Facial Extractions","No es obligatorio","Activo","Todos","Activo","Activo","20935653",""
"Limpieza Seborreguladora","375000.00","1h 20m","","No tax","Ideal para pieles en etapas de acné severo activo, con pústulas y alta producción de grasa. Los resultados son progresivos y se perciben desde la primera sesión. 

Equilibra el exceso de grasa en tu piel con una limpieza facial diseñada para regular la producción de sebo. Todo el poder de nuestra limpieza facial Glow Skin junto a un Peeling Seborregulador de alta estética. 

Incluye recomendaciones de cuidado en casa para disminuir futuros brotes y ayudar al mejoramiento de la piel.","Primera vez","Facial Extractions","No es obligatorio","Activo","Todos","Activo","Activo","21541937",""
"Limpieza Facial para Piel Sensible","140000.00","1h","","No tax","Protocolo ultra-suave diseñado específicamente para pieles reactivas, sensibles o con rosácea. Utilizamos técnicas delicadas y productos hipoalergénicos para limpiar tu piel sin irritar.

Todas Nuestras limpiezas faciales se caracterizan por no dejar la piel maltratada, adolorida,  hinchada o irritada. Sin embargo hemos implementado este procedimiento hipoalergenico para garantizar que las pieles más delicadas puedan disfrutar de un tratamiento profesional con activos clínicamente comprobados para su tipo de piel.","Primera vez","Facial Extractions","No es obligatorio","Activo","Todos","Activo","Activo","21617257",""
"HydraGlow","250000.00","1h 50m","","No tax","La HydraGlow es nuestra limpieza facial más completa en Glow Skin. Combina la tecnología de la máquina Hydrafacial con principios activos seleccionados de acuerdo a las necesidades de tu piel.

🌿 Limpieza profunda
💧 Hidratación en capas
✨ Luminosidad inmediata

Un tratamiento ideal para renovar, hidratar y dejar tu piel fresca, uniforme y radiante desde la primera sesión.","Primera vez","Facial Extractions","No es obligatorio","Activo","Todos","Activo","Activo","21605837",""
"Tratamiento Regenerative +","1200000.00","1h 15m","","No tax","Técnica de micropunciones de bioestimulación celular con Alta Nutrición que reconstruye los tejidos de la piel estimulando la producción de células nuevas en las zonas afectadas. Ideal para pieles con cicatrices leves, como personas que hayan sufrido acné, manchas o arrugas síntomas de envejecimiento.

Paquete que incluye: 
3 sesiones de Microneedling 
3 sesiones Antiox Peel Pro 

Obsequio:

Limpieza Facial Profunda Glow Skin ","Tratamientos","Acne Scar Treatment","No es obligatorio","Activo","Todos","Activo","Activo","20935759",""
"Tratamiento Anti-Manchas con Microneedling","600000.00","1h 20m","","No tax","Técnica avanzada que combina Peelings de última generación o, según el caso, Micropunciones con principios activos despigmentantes enfocados en eliminar progresivamente las células pigmentadas de la epidermis, aclarando las manchas y mejorando la textura general de la piel.

Este tratamiento está recomendadod para la pigmentación moderada. 

Incluye 3 sesiones de Microneedling cada 15 días.

El tratamiento se evalúa en la consulta.","Tratamientos","Acne Scar Treatment","No es obligatorio","Activo","Todos","Activo","Activo","20935697",""
"Tratamiento Anti-Acné ","830000.00","1h 55m","","No tax","Técnica avanzada de ácidos clínicos de última generación que eliminan las microbacterias que causan la proliferación del acné en el rostro. No es suficiente con una limpieza facial, este es un tratamiento progresivo científicamente probado para tratar el acné leve a severo.

Este tratamiento incluye los siguientes procedimientos:
4 sesiones de Peeling Químico, se realiza 1 sesión cada 8 días.
2 sesiones Limpieza para Acné, se realiza 1 sesión cada 20 días

El tratamiento completo se evalúa durante la consulta.","Tratamientos","Acne Facial","No es obligatorio","Activo","Todos","Activo","Activo","20935835",""
"Glow Lips - 3 sesiones","300000.00","1h","","No tax","","Labios","Facial","No es obligatorio","Activo","Todos","Activo","Activo","20943843",""
"Glow Lips","120000.00","45m","","No tax","Revitaliza, neutraliza y devuelve vida a tus labios","Labios","Facial","No es obligatorio","Activo","Todos","Activo","Activo","20935720",""
"HydraGlow +Antiox Peel Pro","450000.00","2h","","No tax","La combinación perfecta para lograr un Glow inmediato y duradero 🌟.

Iniciamos con la Limpieza HydraGlow, nuestra limpieza más completa que utiliza tecnología Hydrafacial junto con principios activos personalizados según tu piel 💧. Esto permite una limpieza profunda, hidratación en capas y un rostro más luminoso al instante.

Luego potenciamos los resultados con el Antiox Peel Pro, un avanzado cóctel de ácidos de medicina estética que mejora textura, uniformidad y vitalidad de la piel 🌿.

El resultado: una piel renovada, fresca y radiante desde la primera sesión.","Facial","Facial","No es obligatorio","Activo","Todos","Activo","Activo","21605866",""
"Antiox Peel Pro + Limpieza Glow Skin","375000.00","1h 40m","","No tax","","Facial","Facial","No es obligatorio","Activo","Todos","Activo","Activo","20935711",""
"Porcelanización + Limpieza Anti-Acné ","290000.00","2h","","No tax","","Facial","Facial Extractions","No es obligatorio","Activo","Todos","Activo","Activo","20935666",""
"Microneedling + Limpieza Glow Skin","325000.00","1h 50m","","No tax","","Facial","Facial Extractions","No es obligatorio","Activo","Todos","Activo","Activo","20935681",""
"Porcelanización + Limpieza Glow Skin","250000.00","1h 45m","","No tax","","Facial","Facial Extractions","No es obligatorio","Activo","Todos","Activo","Activo","20935664",""
""
